city,month,delay_rate,on_time_rate,rain_mm,lon,lat
Sydney,2022-06,36.05,63.95,9.6,151.18,-33.94
Melbourne,2022-07,50.25,49.75,38.2,144.83,-37.67
Sydney,2022-07,49.9,50.1,344.2,151.18,-33.94
Melbourne,2022-08,37.06,62.94,62.0,144.83,-37.67
Sydney,2022-08,31.59,68.41,57.8,151.18,-33.94
Melbourne,2022-09,34.77,65.23,49.0,144.83,-37.67
Sydney,2022-09,34.17,65.83,79.6,151.18,-33.94
Melbourne,2022-10,35.11,64.89,146.0,144.83,-37.67
Sydney,2022-10,34.02,65.98,259.4,151.18,-33.94
Melbourne,2022-11,39.54,60.46,74.8,144.83,-37.67
Sydney,2022-11,35.69,64.31,41.4,151.18,-33.94
Melbourne,2022-12,34.81,65.19,94.2,144.83,-37.67
Sydney,2022-12,29.36,70.64,46.6,151.18,-33.94
Melbourne,2023-01,27.36,72.64,11.4,144.83,-37.67
Sydney,2023-01,23.42,76.58,133.2,151.18,-33.94
Melbourne,2023-02,29.43,70.57,18.0,144.83,-37.67
Sydney,2023-02,31.09,68.91,192.0,151.18,-33.94
Melbourne,2023-03,32.39,67.61,25.0,144.83,-37.67
Sydney,2023-03,31.48,68.52,33.2,151.18,-33.94
Melbourne,2023-04,31.8,68.2,59.2,144.83,-37.67
Sydney,2023-04,28.99,71.01,119.8,151.18,-33.94
Melbourne,2023-05,29.65,70.35,43.4,144.83,-37.67
Sydney,2023-05,27.38,72.62,55.8,151.18,-33.94
Melbourne,2023-06,37.45,62.55,37.6,144.83,-37.67
Sydney,2023-06,30.5,69.5,14.2,151.18,-33.94
Melbourne,2023-07,37.92,62.08,11.0,144.83,-37.67
Sydney,2023-07,30.47,69.53,59.0,151.18,-33.94
Melbourne,2023-08,32.25,67.75,28.2,144.83,-37.67
Sydney,2023-08,27.84,72.16,58.2,151.18,-33.94
Melbourne,2023-09,30.73,69.27,8.2,144.83,-37.67
Sydney,2023-09,30.32,69.68,28.0,151.18,-33.94
Melbourne,2023-10,34.41,65.59,51.8,144.83,-37.67
Sydney,2023-10,32.85,67.15,31.2,151.18,-33.94
Melbourne,2023-11,42.28,57.72,38.0,144.83,-37.67
Sydney,2023-11,39.3,60.7,131.2,151.18,-33.94
Melbourne,2023-12,42.24,57.76,92.6,144.83,-37.67
Sydney,2023-12,36.08,63.92,145.0,151.18,-33.94
Melbourne,2024-01,33.59,66.41,98.6,144.83,-37.67
Sydney,2024-01,24.81,75.19,65.8,151.18,-33.94
Melbourne,2024-02,31.37,68.63,2.2,144.83,-37.67
Sydney,2024-02,28.11,71.89,147.0,151.18,-33.94
Melbourne,2024-03,26.06,73.94,2.4,144.83,-37.67
Sydney,2024-03,20.13,79.87,49.2,151.18,-33.94
Melbourne,2024-04,22.83,77.17,73.8,144.83,-37.67
Sydney,2024-04,23.19,76.81,186.2,151.18,-33.94
Melbourne,2024-05,20.89,79.11,30.8,144.83,-37.67
Sydney,2024-05,23.14,76.86,221.6,151.18,-33.94
Melbourne,2024-06,24.07,75.93,12.2,144.83,-37.67
Sydney,2024-06,21.91,78.09,311.4,151.18,-33.94
Melbourne,2024-07,32.71,67.29,58.0,144.83,-37.67
Sydney,2024-07,28.73,71.27,84.6,151.18,-33.94
Melbourne,2024-08,29.61,70.39,21.8,144.83,-37.67
Sydney,2024-08,25.27,74.73,25.0,151.18,-33.94
Melbourne,2024-09,28.1,71.9,41.2,144.83,-37.67
Sydney,2024-09,23.39,76.61,44.8,151.18,-33.94
Melbourne,2024-10,29.78,70.22,59.0,144.83,-37.67
Sydney,2024-10,27.33,72.67,38.8,151.18,-33.94
Melbourne,2024-11,37.05,62.95,44.2,144.83,-37.67
Sydney,2024-11,36.26,63.74,134.0,151.18,-33.94
Melbourne,2024-12,24.15,75.85,24.6,144.83,-37.67
Sydney,2024-12,26.47,73.53,38.8,151.18,-33.94
Melbourne,2025-01,25.79,74.21,42.2,144.83,-37.67
Sydney,2025-01,27.83,72.17,152.4,151.18,-33.94
Melbourne,2025-02,19.17,80.83,20.8,144.83,-37.67
Sydney,2025-02,20.99,79.01,53.0,151.18,-33.94
Melbourne,2025-03,17.72,82.28,23.6,144.83,-37.67
Sydney,2025-03,20.99,79.01,118.0,151.18,-33.94
Melbourne,2025-04,16.4,83.6,37.0,144.83,-37.67
Sydney,2025-04,17.37,82.63,127.6,151.18,-33.94
Melbourne,2025-05,14.54,85.46,23.8,144.83,-37.67
Sydney,2025-05,20.67,79.33,211.2,151.18,-33.94
Melbourne,2025-06,18.36,81.64,39.0,144.83,-37.67
Sydney,2025-06,21.18,78.82,13.8,151.18,-33.94
